"iso_code3","year","grade","mlevel2_m","rlevel2_m","category","Location","Sex","Wealth","rlevel2_no","mlevel2_no","survey"
"SLE",2017,3,0.0804290847722159,0.0924418658717781,"Sex",,"Female",,645,645,"MICS6"
"SLE",2017,6,0.35146734972627,0.410709656260478,"Sex",,"Male",,345,345,"MICS6"
"SLE",2017,6,0.272954774935926,0.437760848513693,"Sex",,"Female",,347,347,"MICS6"
"STP",2019,3,0.278195200693494,0.255988396850291,"Sex",,"Male",,98,98,"MICS6"
"STP",2019,3,0.206217626663869,0.282259091006745,"Sex",,"Female",,104,104,"MICS6"
"STP",2019,6,0.564512812405241,0.73431524333575,"Sex",,"Male",,93,93,"MICS6"
"STP",2019,6,0.559491863572697,0.641748636790367,"Sex",,"Female",,116,116,"MICS6"
"SUR",2018,3,0.178361764420133,0.341770471025505,"Sex",,"Male",,205,205,"MICS6"
"SUR",2018,3,0.197923622976618,0.342502878907508,"Sex",,"Female",,190,190,"MICS6"
"SUR",2018,6,0.422445248147829,0.621162421261831,"Sex",,"Male",,176,176,"MICS6"
"SUR",2018,6,0.400457427723182,0.646634364655517,"Sex",,"Female",,197,197,"MICS6"
"TCD",2019,3,0.105359966858099,0.0570025416241933,"Sex",,"Male",,433,433,"MICS6"
"TCD",2019,3,0.0647935080763243,0.0178190790726505,"Sex",,"Female",,434,434,"MICS6"
"TCD",2019,6,0.444584882300724,0.285763535904913,"Sex",,"Male",,218,218,"MICS6"
"TCD",2019,6,0.344115430554461,0.238632049677131,"Sex",,"Female",,171,171,"MICS6"
"TGO",2017,3,0.0395830045644398,0.0472590239010953,"Sex",,"Male",,262,262,"MICS6"
"TGO",2017,3,0.0551640922290363,0.0687933139000345,"Sex",,"Female",,246,246,"MICS6"
"TGO",2017,6,0.175188702156337,0.358099969199463,"Sex",,"Male",,217,217,"MICS6"
"TGO",2017,6,0.0980874967857966,0.241058501415687,"Sex",,"Female",,221,221,"MICS6"
"THA",2019,3,0.540444464112151,0.609118950006238,"Sex",,"Male",,643,643,"MICS6"
"THA",2019,3,0.676233802078876,0.684899533843884,"Sex",,"Female",,585,585,"MICS6"
"THA",2019,6,0.736247461797931,0.771902105956204,"Sex",,"Male",,649,649,"MICS6"
"THA",2019,6,0.757777309798819,0.829974275435837,"Sex",,"Female",,549,549,"MICS6"
"TKM",2019,3,0.574581286397769,0.743287888569375,"Sex",,"Male",,179,179,"MICS6"
"TKM",2019,3,0.663590763053409,0.823488435826137,"Sex",,"Female",,136,136,"MICS6"
"TKM",2019,6,0.862844855717722,0.941038448172273,"Sex",,"Male",,227,227,"MICS6"
"TKM",2019,6,0.85647772220112,0.913035558492666,"Sex",,"Female",,224,224,"MICS6"
"TON",2019,3,0.288948960647901,0.463270221310116,"Sex",,"Male",,66,66,"MICS6"
"TON",2019,3,0.234589270417907,0.550603627457594,"Sex",,"Female",,59,59,"MICS6"
"TON",2019,6,0.640812180217755,0.687768733729999,"Sex",,"Male",,79,79,"MICS6"
"TON",2019,6,0.584267573633611,0.672942853819291,"Sex",,"Female",,54,54,"MICS6"
"TUN",2018,3,0.19447453730968,0.45888486711746,"Sex",,"Male",,224,224,"MICS6"
"TUN",2018,3,0.197075927220197,0.546658607910694,"Sex",,"Female",,170,170,"MICS6"
"TUN",2018,6,0.468583525112916,0.783328739276959,"Sex",,"Male",,201,201,"MICS6"
"TUN",2018,6,0.364613414677203,0.816296817152179,"Sex",,"Female",,187,187,"MICS6"
"WSM",2019,3,0.110042936802334,0.224619974652293,"Sex",,"Male",,110,110,"MICS6"
"WSM",2019,3,0.178840284776567,0.318426842432296,"Sex",,"Female",,73,73,"MICS6"
"WSM",2019,6,0.135217500481422,0.518044864096833,"Sex",,"Male",,98,98,"MICS6"
"WSM",2019,6,0.248228426688098,0.630413511186198,"Sex",,"Female",,75,75,"MICS6"
"ZWE",2019,3,0.0960053857096041,0.236557099016419,"Sex",,"Male",,350,350,"MICS6"
"ZWE",2019,3,0.0811951619288188,0.305933767577918,"Sex",,"Female",,321,321,"MICS6"
"ZWE",2019,6,0.351735283959636,0.561966756184357,"Sex",,"Male",,299,299,"MICS6"
"ZWE",2019,6,0.390104132581955,0.760375506114743,"Sex",,"Female",,260,260,"MICS6"
"BGD",2019,3,0.118054302273138,0.216709348877085,"Wealth",,,"1",1055,1055,"MICS6"
"BGD",2019,3,0.141935399625681,0.247300941351287,"Wealth",,,"2",880,880,"MICS6"
"BGD",2019,3,0.146273886480274,0.283328959259307,"Wealth",,,"3",746,746,"MICS6"
"BGD",2019,3,0.173218103932933,0.351379900417554,"Wealth",,,"4",682,682,"MICS6"
"BGD",2019,3,0.28221658049191,0.533494019079711,"Wealth",,,"5",488,488,"MICS6"
"BGD",2019,6,0.379832995920371,0.623558857165144,"Wealth",,,"1",690,690,"MICS6"
"BGD",2019,6,0.38303178593807,0.7043075684591,"Wealth",,,"2",710,710,"MICS6"
"BGD",2019,6,0.383915048703425,0.728412943317849,"Wealth",,,"3",670,670,"MICS6"
"BGD",2019,6,0.425299660445482,0.76384395749664,"Wealth",,,"4",553,553,"MICS6"
"BGD",2019,6,0.525919962327543,0.845688601939704,"Wealth",,,"5",406,406,"MICS6"
"BLR",2019,3,0.638064206347827,0.839128429650035,"Wealth",,,"1",39,39,"MICS6"
"BLR",2019,3,0.671188415953667,0.649229432268299,"Wealth",,,"2",38,38,"MICS6"
"BLR",2019,3,0.776303575502147,0.883790847028754,"Wealth",,,"3",41,41,"MICS6"
"BLR",2019,3,0.786918626685756,0.873506980306434,"Wealth",,,"4",58,58,"MICS6"
"BLR",2019,3,0.651427364984987,0.807496103519378,"Wealth",,,"5",66,66,"MICS6"
"BLR",2019,6,0.738611239060693,0.820095383159458,"Wealth",,,"1",24,24,"MICS6"
"BLR",2019,6,0.720782603231201,0.914848774923236,"Wealth",,,"2",34,34,"MICS6"
"BLR",2019,6,0.903547622270198,0.914417776885177,"Wealth",,,"3",29,29,"MICS6"
"BLR",2019,6,0.821502078142519,0.786722944411951,"Wealth",,,"4",34,34,"MICS6"
"BLR",2019,6,0.843095956823852,0.947629631898457,"Wealth",,,"5",36,36,"MICS6"
"CAF",2018,3,0.0090007954155243,0,"Wealth",,,"1",128,128,"MICS6"
