"iso_code3","year","grade","level","survey","category","Language","Location","Sex","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"LTU",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9732,0.8654,0.5474,0.0038,0.0082,0.0145,4442,3971,2580
"LTU",2021,4,"Primary","PIRLS","Language","No",,,,0.8252,0.6181,0.2623,0.0728,0.1098,0.0844,37,29,12
"LVA",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9484,0.7861,0.4133,0.007,0.0141,0.0145,4074,3483,2017
"LVA",2021,4,"Primary","PIRLS","Language","No",,,,0.7954,0.4886,0.1518,0.0657,0.0873,0.0522,74,41,16
"MAC",2021,4,"Primary","PIRLS","Language","Yes",,,,0.961,0.8214,0.4501,0.0038,0.0062,0.007,4843,4178,2315
"MAC",2021,4,"Primary","PIRLS","Language","No",,,,0.8449,0.6084,0.2115,0.0467,0.0679,0.0603,50,36,11
"MAR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.4514,0.2004,0.0595,0.0194,0.017,0.0135,1840,744,170
"MAR",2021,4,"Primary","PIRLS","Language","No",,,,0.3354,0.1216,0.0285,0.0237,0.0159,0.009,679,214,43
"MKD",2021,4,"Primary","PIRLS","Language","Yes",,,,0.7184,0.3964,0.1103,0.0219,0.0241,0.0118,2012,1129,315
"MKD",2021,4,"Primary","PIRLS","Language","No",,,,0.5877,0.2242,0.0202,0.1158,0.1185,0.0205,34,19,1
"MLT",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9067,0.7061,0.3745,0.0097,0.0155,0.0147,2475,1925,999
"MLT",2021,4,"Primary","PIRLS","Language","No",,,,0.885,0.6419,0.295,0.0232,0.0344,0.0322,241,172,84
"MNE",2021,4,"Primary","PIRLS","Language","Yes",,,,0.8804,0.6023,0.2182,0.0063,0.0112,0.009,3537,2402,836
"MNE",2021,4,"Primary","PIRLS","Language","No",,,,0.8988,0.6153,0.2606,0.0256,0.0472,0.0334,177,123,52
"NLD",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9658,0.7915,0.3775,0.0069,0.0138,0.0138,4012,3331,1616
"NLD",2021,4,"Primary","PIRLS","Language","No",,,,0.9259,0.7435,0.292,0.0365,0.0594,0.0794,118,99,44
"NOR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9615,0.8141,0.4821,0.0053,0.0093,0.0129,4908,4188,2556
"NOR",2021,4,"Primary","PIRLS","Language","No",,,,0.9251,0.7419,0.3604,0.0236,0.0418,0.0658,138,110,60
"OMN",2021,4,"Primary","PIRLS","Language","Yes",,,,0.642,0.372,0.1403,0.0143,0.0142,0.0103,3027,1737,642
"OMN",2021,4,"Primary","PIRLS","Language","No",,,,0.5227,0.247,0.0889,0.0367,0.0312,0.0223,169,79,31
"POL",2021,4,"Primary","PIRLS","Language","Yes",,,,0.975,0.8588,0.5208,0.0046,0.01,0.0147,4031,3564,2198
"POL",2021,4,"Primary","PIRLS","Language","No",,,,0.7058,0.3717,0.1202,0.1738,0.1722,0.0988,11,6,2
"PRT",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9436,0.7518,0.3582,0.0056,0.0103,0.014,5648,4491,2190
"PRT",2021,4,"Primary","PIRLS","Language","No",,,,0.8721,0.6488,0.2707,0.0469,0.0636,0.0673,72,47,19
"QAT",2021,4,"Primary","PIRLS","Language","Yes",,,,0.8206,0.5889,0.2809,0.0114,0.017,0.0165,3863,2791,1347
"QAT",2021,4,"Primary","PIRLS","Language","No",,,,0.7125,0.4149,0.1613,0.0358,0.0385,0.0266,325,191,78
"RUS",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9846,0.8968,0.6332,0.0035,0.0128,0.0184,5051,4682,3360
"RUS",2021,4,"Primary","PIRLS","Language","No",,,,0.9417,0.6938,0.27,0.0368,0.0663,0.0976,74,59,19
"SAU",2021,4,"Primary","PIRLS","Language","Yes",,,,0.7263,0.4294,0.1301,0.0158,0.0178,0.009,3188,1908,612
"SAU",2021,4,"Primary","PIRLS","Language","No",,,,0.5381,0.2935,0.0774,0.0581,0.0469,0.0291,133,64,21
"SGP",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9701,0.9033,0.7188,0.0043,0.0083,0.0157,6264,5784,4610
"SGP",2021,4,"Primary","PIRLS","Language","No",,,,0.8603,0.7215,0.4906,0.0335,0.0392,0.0571,186,153,98
"SRB",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9334,0.7319,0.3324,0.0076,0.0171,0.0156,3790,3101,1531
"SRB",2021,4,"Primary","PIRLS","Language","No",,,,0.8466,0.5845,0.2984,0.137,0.1752,0.1705,14,10,6
"SVK",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9511,0.8117,0.4371,0.007,0.0121,0.0176,4301,3684,2092
"SVK",2021,4,"Primary","PIRLS","Language","No",,,,0.5677,0.3389,0.1412,0.0672,0.0581,0.0462,130,66,28
"SVN",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9496,0.7608,0.3624,0.0042,0.0109,0.0111,4607,3716,1793
"SVN",2021,4,"Primary","PIRLS","Language","No",,,,0.8174,0.4966,0.13,0.0408,0.0547,0.0227,181,109,27
"SWE",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9571,0.8156,0.5047,0.0057,0.0095,0.0119,4720,4070,2555
"SWE",2021,4,"Primary","PIRLS","Language","No",,,,0.8688,0.6628,0.3186,0.0408,0.0439,0.049,133,104,49
"TUR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.8761,0.6418,0.2999,0.0098,0.0158,0.0132,5155,3914,1869
"TUR",2021,4,"Primary","PIRLS","Language","No",,,,0.4536,0.2387,0.0615,0.0776,0.0558,0.0255,77,39,15
"USA",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9482,0.8157,0.53,0.0151,0.0297,0.0324,1473,1281,851
"USA",2021,4,"Primary","PIRLS","Language","No",,,,0.5928,0.4351,0.2248,0.1625,0.1274,0.133,11,8,5
"UZB",2021,4,"Primary","PIRLS","Language","Yes",,,,0.7052,0.3406,0.0694,0.014,0.0134,0.0068,3966,1924,453
"UZB",2021,4,"Primary","PIRLS","Language","No",,,,0.667,0.2981,0.0734,0.0587,0.0506,0.035,101,49,11
"ZAF",2021,4,"Primary","PIRLS","Language","Yes",,,,0.2197,0.1001,0.0355,0.0134,0.0099,0.0056,1577,573,167
"ZAF",2021,4,"Primary","PIRLS","Language","No",,,,0.0949,0.0147,4e-04,0.0181,0.0089,6e-04,39,6,1
"ALB",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9282,0.7091,0.3405,0.0106,0.0169,0.0161,3504,2815,1470
"ALB",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.8475,0.4959,0.1509,0.0581,0.0971,0.0633,76,43,13
"ARE",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.8266,0.6652,0.4043,0.0085,0.0099,0.0086,14106,11476,7093
"ARE",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.6399,0.3501,0.1181,0.0343,0.0306,0.0201,246,126,40
"AUS",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9429,0.8041,0.4836,0.0055,0.0101,0.0128,4562,3910,2426
"AUS",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.8698,0.7137,0.3478,0.0954,0.1521,0.0633,68,48,24
"AUT",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9593,0.7916,0.4052,0.0044,0.0122,0.0157,4462,3694,1936
"AUT",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9582,0.8327,0.4068,0.0203,0.0385,0.0497,144,122,63
"AZE",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.7014,0.3959,0.1182,0.0162,0.0196,0.0105,3464,2150,691
