iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,year_uis,cy,_merge
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 2,Vlore,,,,,,100,81.346825,49.936653,,,,,,,16,8,9,36,36,43,18,18,18,25,19,13,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 5,Fier,,,,,,,,97.308716,,,,,,,10,11,6,29,29,30,13,13,13,19,15,10,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth,,Male,Quintile 4,,,,91.348358,97.337135,89.848946,98.635002,94.425964,86.960251,15.885084,.3729203,.3729203,11.521065,2.3513727,3.8787272,161,182,201,592,592,615,308,308,308,257,216,173,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Kukes,,,100,,,99.533112,92.325089,78.801712,15.528928,0,0,38.199718,20.365545,4.9888601,53,29,24,101,101,99,44,44,44,56,68,39,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 2,Lezhe,,,97.388565,90.18943,72.421036,97.611465,89.184151,65.494583,13.910462,1.2560707,1.2560707,8.3837767,6.489121,11.03567,43,49,43,162,162,146,81,81,81,54,68,48,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 1,Fier,,,89.825233,85.469826,59.577023,92.020767,80.396484,36.945892,11.061954,7.1113973,7.1113973,14.123699,9.0340633,28.194809,39,45,32,122,122,124,56,56,56,82,62,45,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 2,Berat,,,100,94.119087,74.298355,98.810425,88.488647,61.027832,13.599141,1.3439304,1.3439304,4.5651889,4.4669261,8.3704967,43,34,37,127,127,118,63,63,63,73,48,41,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 4,Korce,,,,,,100,91.492149,92.673508,,,,,,,20,9,21,54,54,49,29,29,29,23,19,19,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 2,Vlore,,,,,,100,86.612892,52.855862,13.296326,0,0,8.1562843,0,,25,21,18,68,68,78,33,33,33,46,41,22,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Male,,Tirane,,,98.255005,98.009384,84.213684,99.409996,94.522644,83.881897,15.806035,.56478345,.56478345,9.3649607,2.3147304,9.0274525,127,113,151,439,439,466,249,249,249,169,163,109,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Berat,,,,,74.077484,98.537483,92.034477,68.762184,14.146244,1.6922802,1.6922802,5.0110936,0,,24,26,36,104,104,120,62,62,62,54,33,26,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Location & Sex & Wealth,Urban,Male,Quintile 1,,,,86.099197,74.960381,33.35675,88.6549,74.811699,33.091934,10.396299,6.4150586,6.4150586,6.4583974,7.6867423,27.690102,46,43,33,111,111,111,51,51,51,55,68,33,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Fier,,,,100,,100,93.591461,74.428261,15.663605,0,0,8.1195431,3.0434873,3.1179612,29,37,26,111,111,112,48,48,48,49,43,41,,Albania_2017,matched (3)
